"ACTION";"TYPE D'OBJET";"CODE CARACTERISTIQUE";"SOURCE";"NOM";"NOM D'AFFICHAGE";"UNITE DE MESURE";"TYPE D'ATTRIBUT"
"CREATE";"Attribute";"10005";"SITELABO";"Préférence contact";"Je souhaite";;"string"
"CREATE";"Attribute";"10006";"SITELABO";"Numero de téléphone";"N° de tel";;"string"
"CREATE";"Attribute";"10007";"SITELABO";"Email";"Email";;"string"
"CREATE";"Attribute";"10008";"SITELABO";"Message";"Message";;"string"
"CREATE";"Attribute";"10009";"SITELABO";"Explication";"Explication";;"string"
"CREATE";"Attribute";"10010";"SITELABO";"Forum";"Forum";;"string"
"CREATE";"Attribute";"11321";"SID";"Traitement contre";"Traitement contre";;"String"
"CREATE";"Attribute";"titre1";"EDITORIAL";"Titre 1";"Titre 1";;"string"
"CREATE";"Attribute";"titre2";"EDITORIAL";"Titre 2";"Titre 2";;"string"
"CREATE";"Attribute";"paragraphe";"EDITORIAL";"Paragraphe";"Paragraphe";;"string"
"CREATE";"Attribute";"teteDeChapitre";"EDITORIAL";"Tête de chapitre";"Tête de chapitre";;"string"
"CREATE";"Attribute";"codebarre";"SITEBOUTON";"Code barre";"Code barre";;"string"
"CREATE";"Attribute";"gamme";"SITEBOUTON";"Gamme";"Gamme";;"string"
"CREATE";"Attribute";"poids";"SITEBOUTON";"Poids";"Poids";;"string"
"CREATE";"Attribute";"stylecc";"SITEBOUTON";"Style";"Style";;"string"
"CREATE";"Attribute";"matierecc";"SITEBOUTON";"Matiere cc";"Matiere cc";;"string"
"CREATE";"Attribute";"autrescoloris";"SITEBOUTON";"Autre coloris";"Autre coloris";;"string"
"CREATE";"Attribute";"autresdimensions";"SITEBOUTON";"Autre dimensions";"Autre dimensions";;"string"
"CREATE";"Attribute";"designationbasa";"SID";"Designation BASA";"Designation BASA";;"string"
"CREATE";"Attribute";"designation2";"SID";"Designation 2";"Designation 2";;"string"
"CREATE";"Attribute";"matieremc";"SITEBOUTON";"Matiere mc";"Matiere mc";;"string"
"CREATE";"Attribute";"descriptionXhtml";"SID";"xhtml";"xhtml";;"xhtml"
"CREATE";"Attribute";"video_name";"SID";"Name";"Name";;"string"
"CREATE";"Attribute";"video_broadcaster";"SID";"Broadcaster";"Broadcaster";;"string"
"CREATE";"Attribute";"video_code";"SID";"Code";"Code";;"string"
"CREATE";"Attribute";"BaseSet";"SID";"BaseSet";"BaseSet";;"string"
"CREATE";"Attribute";"ModelFilters";"INTERNE";"ModelFilters";"ModelFilters";;"string"
"CREATE";"Attribute";"ModelTypeFilters";"INTERNE";"ModelTypeFilters";"ModelTypeFilters";;"string"
"CREATE";"Attribute";"AttributeFilters";"SID";"AttributeFilters";"AttributeFilters";;"string"
